,rater_id
4,10508
61,9930
37,9161
2,5778
52,5397
70,5394
24,5383
62,5380
60,5318
81,5271
15,5064
27,4978
46,4964
51,4796
35,4704
26,4690
23,4591
55,4463
49,4400
33,4267
40,4125
6,4077
20,4005
3,3767
18,3724
57,3640
67,3614
16,3426
39,3362
42,3080
5,2945
21,2937
36,2784
19,2729
72,2698
22,2675
12,2636
66,2594
76,2561
41,2422
56,2114
8,2024
11,1953
34,1924
50,1914
74,1901
78,1872
38,1634
1,1605
30,1587
7,1424
10,1147
73,1137
77,936
9,922
28,903
79,834
54,829
63,823
14,688
31,576
32,530
75,444
43,438
59,376
25,369
48,362
29,274
58,237
13,179
65,140
64,134
17,129
71,120
69,110
44,102
80,86
53,81
45,72
0,49
47,7
68,1
